Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
02-JAN-2023,21886.75,22082.65,21851.7,21999.5,97708964,2494.08
03-JAN-2023,21968,22164.5,21967.4,22139,110007926,3539.61
04-JAN-2023,22154.7,22222.6,21853,21915.55,109519758,5112.41
05-JAN-2023,21977,22008.1,21566.75,21742.6,99084780,4502.79
06-JAN-2023,21757.2,21789.75,21343.4,21499.95,100812724,4603.46
09-JAN-2023,21601.85,21779.6,21508.8,21700.4,92086817,4791
10-JAN-2023,21727.7,21743,21361.45,21455.3,83241973,4364.16
11-JAN-2023,21489.95,21589.15,21295.5,21543.9,80121157,4410.88
12-JAN-2023,21549.95,21609.15,21273.1,21441.7,83302822,4399.91
13-JAN-2023,21487.7,21636.7,21343.65,21600.8,94655671,4338.08
16-JAN-2023,21728.5,21780.4,21431.05,21487.3,135565185,4843.43
17-JAN-2023,21540.6,21567.6,21322.1,21515.3,120508049,4299.48
18-JAN-2023,21529.85,21672,21445.15,21631.6,79678382,4407.74
19-JAN-2023,21601.35,21648.1,21474.85,21532.5,75736714,4730.12
20-JAN-2023,21619,21719.5,21544.95,21612.95,79544051,4568.74
23-JAN-2023,21834.3,21869.8,21681.6,21739.15,156823300,6350.46
24-JAN-2023,21824.3,21857.85,21626.85,21700,98500281,6505.36
25-JAN-2023,21672.15,21687.3,21154,21200.75,104840401,5419.68
27-JAN-2023,21068.9,21092,20526.7,20629.6,165976538,10317.93
30-JAN-2023,20378.85,20821.05,20136.65,20645.7,140169083,8637.1
31-JAN-2023,20717.65,20797.35,20493.55,20731.35,125449028,7291.75
01-FEB-2023,20956.15,21447.15,20216.65,20712.25,144829858,8061.56
02-FEB-2023,20438.35,20898.45,20411.05,20852.65,144465725,5868.13
03-FEB-2023,21028.85,21216.4,20816.8,21195.25,97551462,5189.64
06-FEB-2023,21136.65,21341.65,21112.9,21168.55,88594090,4083.71
07-FEB-2023,21237.5,21278.45,21018.2,21208.85,82510887,3780.17
08-FEB-2023,21225.6,21333.1,21154.7,21241.7,63489358,2889.96
09-FEB-2023,21281.65,21287.7,21095.6,21255.25,61256872,3131.65
10-FEB-2023,21206.2,21303,21179.45,21254.5,56195853,2722.34
13-FEB-2023,21245.55,21268.1,21033.25,21088.8,85206776,3198.46
14-FEB-2023,21148.1,21286.5,21018.3,21251.7,86222375,3945.76
15-FEB-2023,21264.35,21321.4,21141.5,21289.7,72669916,3832.85
16-FEB-2023,21386.1,21416.75,21205.3,21256.25,66715340,3248.45
17-FEB-2023,21191.1,21197.05,20866.95,20978.55,78835299,3721.15
20-FEB-2023,21024.75,21057,20726.2,20778.9,70220268,3200.68
21-FEB-2023,20817.55,20897.05,20670.5,20763.6,79205302,4045.98
22-FEB-2023,20668.45,20687.3,20369.15,20415.75,75802840,3850.94
23-FEB-2023,20409.8,20491.95,20203.35,20416.8,106949397,5356.57
24-FEB-2023,20543.9,20593.8,20333.55,20383.35,72107268,3679.57
27-FEB-2023,20337.9,20596.8,20296.85,20558,75002015,4139.06
28-FEB-2023,20559.4,20624.3,20478.75,20587,94632939,5675.28
01-MAR-2023,20695.9,20816.05,20618.8,20795.85,85114044,5069.25
02-MAR-2023,20745.5,20846.35,20602.55,20639.35,86796728,5190.58
03-MAR-2023,20750.45,21061.4,20668.6,20978.6,82747020,4520.08
06-MAR-2023,21064.15,21195.45,20982.65,21022.95,98475773,6175.13
08-MAR-2023,20940.7,21194.1,20880.55,21165.55,104218546,6139.02
09-MAR-2023,21147,21201.95,20970.1,20995.9,80132531,5844.11
10-MAR-2023,20770.1,20785,20537.15,20608.65,95701154,6344.94
13-MAR-2023,20526.35,20660.1,20044.7,20104.85,113091573,7644.05
14-MAR-2023,20089,20200.85,19889.8,20023,128700516,8676.87
15-MAR-2023,20223.55,20298.5,19794.15,19852.8,109344676,6418.18
16-MAR-2023,19856.85,19966.25,19592.9,19838.55,119146016,5992.68
17-MAR-2023,20000,20116.5,19747.6,20063.3,95335737,5974.94
20-MAR-2023,20032.15,20032.15,19733.45,19956.7,104070128,6160.87
21-MAR-2023,20075,20285.55,19958.95,20243.6,104357243,6646.35
22-MAR-2023,20322.95,20347.55,20225.2,20320.8,83855512,4759.79
23-MAR-2023,20238.6,20449,20113.3,20147.8,87889385,6434.25
24-MAR-2023,20110.5,20219.85,19979.7,20031.05,100241927,6371.51
27-MAR-2023,20078.2,20136.2,19919.8,19996.8,92971783,5991.72
28-MAR-2023,20056.5,20101.9,19927.2,20065.05,123346802,7750.08
29-MAR-2023,20077.7,20313.35,20075.9,20229.25,155381703,9591.83
31-MAR-2023,20395.65,20658.9,20367.05,20618.1,119173406,7780.91
03-APR-2023,20675.65,20795.45,20592.45,20774.2,120813072,8051.34
05-APR-2023,20865.45,20878.15,20745.75,20829.8,118589584,7917.12
06-APR-2023,20796.15,20951.25,20719.95,20829.75,116626318,8820.7
10-APR-2023,20873.35,20885.15,20662.5,20723.9,109168208,7535.55
11-APR-2023,20909.15,20987.15,20778.75,20962.35,135396885,11361.74
12-APR-2023,20979.4,21088.35,20938.3,21065,86599415,6689.01
13-APR-2023,21085.6,21323.45,20928.7,21289.3,130045332,9843.77
17-APR-2023,21565.4,21565.4,21155.3,21366.4,137799432,10538.94
18-APR-2023,21438.35,21522.65,21331.95,21396.05,141202395,8257.34
19-APR-2023,21404.6,21427.65,21271.2,21336.2,109300200,7469.39
20-APR-2023,21366.3,21453.3,21310.6,21402.9,122466175,7377.33
21-APR-2023,21396.35,21481.9,21245.5,21322.3,97940449,6651
24-APR-2023,21524.4,21637.75,21405.5,21557.35,137879032,9212.83
