Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
01-JAN-2021,17268.75,17314.2,17177.55,17196.5,68340207,2855.15
04-JAN-2021,17338.6,17338.6,17022.65,17181.65,172472146,5471.3
05-JAN-2021,17094.25,17538.25,17027.75,17513.8,230767590,8350.93
06-JAN-2021,17579,17649.05,17405.1,17547.05,257927809,8421.81
07-JAN-2021,17738.25,17781.45,17634.7,17677.75,352250448,7956.6
08-JAN-2021,17872.45,17872.45,17717.55,17756.05,187083161,6300.74
11-JAN-2021,17859.1,17863.55,17615.8,17699.35,133748222,5304.68
12-JAN-2021,17609.8,17868.05,17539.45,17784.05,211990249,7115.3
13-JAN-2021,17885.2,17927.75,17631.45,17803.3,201617723,7389.57
14-JAN-2021,17782.25,17912.65,17742.45,17782.1,124315566,5693.57
15-JAN-2021,17785.2,17796.8,17534.15,17641.65,204144758,5674.8
18-JAN-2021,17650.85,17701,17318.1,17401.35,171546665,8294.1
19-JAN-2021,17546.5,17771.25,17426.95,17752.85,174592359,5830.23
20-JAN-2021,17734.75,17853.35,17684.45,17799.65,238031997,5631.06
21-JAN-2021,17918,18004.45,17522.95,17622.25,220580479,8304.4
22-JAN-2021,17560.25,17584.65,17039.8,17063.75,225168189,8000.76
25-JAN-2021,17266.65,17331.15,16951.95,17043.9,186457596,7971.39
27-JAN-2021,17069.7,17087.3,16469.05,16524.35,196792335,8791
28-JAN-2021,16260,16614.1,16215.95,16553,284669047,12534.41
29-JAN-2021,16742,16965,16525,16694.3,251343340,10241.6
01-FEB-2021,16912.55,18150.7,16886.25,18040.05,335424534,14361.49
02-FEB-2021,18314,18851.15,18308,18587.6,281710058,13258.27
03-FEB-2021,18754.75,18989.85,18476.7,18902.7,215069450,11256.2
04-FEB-2021,18774.4,19128.5,18593.65,19080.5,208242151,10131.64
05-FEB-2021,19050.8,19486.35,18895.65,18949.6,266748305,13944.37
08-FEB-2021,19164.15,19381.3,19083,19133.05,118167301,6152.33
09-FEB-2021,19188.25,19387.9,18977.55,19167.05,199513749,7377.02
10-FEB-2021,19182.35,19273.4,18838,19029.8,146962385,6631.81
11-FEB-2021,18981.4,19144.9,18951.4,19045.8,146349239,5012.86
12-FEB-2021,19034.4,19351.4,19026.9,19228.7,142377475,6076.46
15-FEB-2021,19440.25,19938.1,19387.6,19866.55,177117561,7000.5
16-FEB-2021,19949.6,20068.55,19572.95,19777.35,191371511,8859.16
17-FEB-2021,19756.55,19821.5,19528.3,19589.2,201534476,7524.89
18-FEB-2021,19603.65,19603.65,19229.95,19366.9,173138405,7194.61
19-FEB-2021,19235.95,19439.9,18936.65,19066,378556108,8714.29
22-FEB-2021,19076.9,19216.4,18669.2,18732.8,224643146,8471.8
23-FEB-2021,18885.25,18935.75,18571.65,18644.75,164865875,6936.05
24-FEB-2021,18690.8,19432.15,18614.5,19366.05,116987458,5310.13
25-FEB-2021,19535.2,19818.25,19431.3,19461,228724265,10217.09
26-FEB-2021,19043,19106.85,18448.2,18551.75,241000744,12283.3
01-MAR-2021,18858.4,18962.4,18638.95,18804.35,120555747,5591.75
02-MAR-2021,18903.9,19049.3,18668.4,18906.1,135389244,5982.34
03-MAR-2021,19089.75,19457.55,18987.7,19425.55,205224031,6494.97
04-MAR-2021,18993.8,19445.65,18955.1,19178.2,211719854,7457.19
05-MAR-2021,18978.95,19093.1,18704.35,18875.05,180913265,7901.2
08-MAR-2021,18994.25,19180.1,18754.1,18857.6,123829062,6171.36
09-MAR-2021,19085.75,19299.85,19022.8,19192.5,141661369,7665.5
10-MAR-2021,19328.2,19371.4,19154.15,19250.75,105703814,5123.63
12-MAR-2021,19555.55,19555.55,18876.6,19033.9,128424184,5985.52
15-MAR-2021,19058.15,19058.15,18445.4,18828.6,153676085,6523.36
16-MAR-2021,18924.35,18952.65,18614.9,18644.3,109617741,4798.71
17-MAR-2021,18698.45,18811.15,18305.55,18356.55,126241844,5618.58
18-MAR-2021,18547.85,18634.05,18008.6,18141.15,142365096,5610.71
19-MAR-2021,17993.65,18424.3,17891.25,18305.8,203026904,7796.76
22-MAR-2021,18255,18295.2,17890.85,17993.8,133778865,5982.5
23-MAR-2021,18075.6,18400.15,17992.65,18305.9,150808503,7028.69
24-MAR-2021,18158.15,18202.45,17785.2,17838.1,134314681,5732.62
25-MAR-2021,17907.25,17987.5,17389.45,17699.15,183327921,7491.75
26-MAR-2021,18019.4,18023.1,17767.65,17845.4,116835103,4888.68
30-MAR-2021,18013.45,18199.2,17972.65,18099.25,161646540,7961.73
31-MAR-2021,18047.8,18056.15,17715.4,17763.85,368083171,6897.72
01-APR-2021,17912,18141.4,17734.25,18093,235483163,6917.04
05-APR-2021,17993.2,18017.95,17267.2,17469,232895586,6116.65
06-APR-2021,17608.15,17674.9,17309.3,17398.75,184141405,5250.62
07-APR-2021,17415.45,17745.95,17211.3,17664.85,207139082,6348.49
08-APR-2021,17746.15,17824.3,17510.95,17553,184518514,4953.73
09-APR-2021,17477.4,17622.6,17311.55,17392.15,204511606,6211.55
12-APR-2021,16937.4,16980.65,16343.75,16481.95,362247522,7414.04
13-APR-2021,16539.2,17079.85,16450.05,17017.55,274044283,6232.31
15-APR-2021,17079.95,17190.65,16778.3,17157.35,247160572,8082.34
16-APR-2021,17187.05,17268.25,17044.8,17097.2,208469745,5235.46
19-APR-2021,16566.25,16709.25,16262.45,16656.5,268913018,7085.34
20-APR-2021,16856.25,16935.85,16507.95,16620.1,221833007,6060.2
22-APR-2021,16435.8,16946.8,16322.05,16918.35,238205631,8363.34
23-APR-2021,16782.3,17133.3,16717.6,16911,254593345,6908.11
26-APR-2021,17249.8,17375.3,17136.15,17211.9,260446212,9223.65
27-APR-2021,17188.45,17489.6,17157.35,17451.75,281168918,8228.42
28-APR-2021,17510.2,18008.6,17498.75,17973.8,281758146,10441.01
29-APR-2021,18083.7,18284.4,17759.95,18006.3,323294975,8937.27
30-APR-2021,17711.95,17927.45,17524.15,17582.45,298975831,8236.81
03-MAY-2021,17318.65,17455.85,17104.1,17387.4,406254449,7658.97
04-MAY-2021,17465,17664.1,17222.45,17274.45,289635269,6259.53
05-MAY-2021,17425.2,17584.15,17183.85,17543.05,175410392,4870.56
06-MAY-2021,17599.9,17628.55,17408.7,17532.3,237721608,4635.84
07-MAY-2021,17656.05,17763.6,17508,17556.25,231176657,4146.17
10-MAY-2021,17685.3,17748.25,17606.25,17669.95,262210119,4707.59
11-MAY-2021,17403.6,17660.35,17390.6,17508.95,276972896,5013.27
12-MAY-2021,17431.15,17455.6,17180.05,17222.6,289688449,4787.7
14-MAY-2021,17244.6,17301.2,17031.2,17073.65,191831750,4208.63
17-MAY-2021,17210.65,17744.75,17138.05,17722.9,311261380,6732.37
18-MAY-2021,17937.35,18111,17896.7,17993.15,303750003,7693.01
19-MAY-2021,17877.55,17982.4,17809.25,17847.85,193338589,4713.58
20-MAY-2021,17837.05,17927.9,17643.8,17670.45,190818846,5047.63
21-MAY-2021,17775.65,18350.1,17775.65,18310.7,274902087,7252.3
24-MAY-2021,18364.4,18595.75,18228.25,18445.55,498133857,6974.39
25-MAY-2021,18520.25,18536.65,18143.25,18278.95,215270313,5029.37
26-MAY-2021,18329.85,18384.9,18169.4,18278.65,222957737,4217.53
27-MAY-2021,18268.95,18491.05,18174.6,18433.7,350768122,7332
28-MAY-2021,18549.25,18605.3,18386.8,18492.55,230965158,5837.55
31-MAY-2021,18472.6,18724.75,18385.95,18694.9,166008436,4783.58
01-JUN-2021,18750.5,18780.2,18489.2,18521.6,150723974,3771.36
02-JUN-2021,18491.65,18565.85,18381.05,18543.05,232045630,4840.95
03-JUN-2021,18640.4,18712.8,18559.65,18674.3,204394887,5221.79
04-JUN-2021,18704.4,18771.75,18450.6,18523.35,286358518,4317.9
07-JUN-2021,18616.95,18740.7,18561.55,18690.6,641507521,3704.88
08-JUN-2021,18690.85,18697.2,18451.4,18506.95,361381916,3567.49
09-JUN-2021,18527.95,18673.75,18264.7,18346.35,362175331,4608.08
10-JUN-2021,18394.8,18528.4,18308.55,18511.8,216922759,3536.71
11-JUN-2021,18616.1,18625.85,18371.1,18435.8,205850548,2765.22
14-JUN-2021,18389.3,18389.3,18098.85,18352.7,244106434,3401.11
15-JUN-2021,18412.35,18577.2,18352.55,18549.95,156632418,3667.91
16-JUN-2021,18529.05,18615.8,18372.4,18416.9,145497312,3175.29
17-JUN-2021,18223.85,18357.75,18116.8,18199.9,200122910,3721.05
18-JUN-2021,18262.8,18303.9,17850.15,18209.7,215526528,4192.59
21-JUN-2021,17983.95,18401.35,17906.35,18373.5,233717429,3919.06
22-JUN-2021,18487.35,18589.65,18267.7,18308.9,191134370,4103.38
23-JUN-2021,18397.8,18408,18166.9,18191.6,159932128,4114.86
24-JUN-2021,18250.85,18385.35,18201.4,18335.75,164188489,3796.85
25-JUN-2021,18357.35,18666.55,18357.35,18586.4,159604412,5275.54
28-JUN-2021,18649.85,18695.9,18526.1,18599.15,179846082,3924.63
29-JUN-2021,18571.7,18580.35,18347.75,18406.7,180867710,5196.04
30-JUN-2021,18404.25,18523.4,18268.45,18293.5,247858594,4746.22
01-JUL-2021,18332.9,18355.75,18214.7,18232.1,138195092,3628.47
02-JUL-2021,18259.3,18325.85,18205.05,18274.2,121390854,3107.8
05-JUL-2021,18378.5,18492.55,18346.7,18465.2,166982916,2629.8
06-JUL-2021,18438.5,18732.7,18432.45,18635.85,152398553,4008.73
07-JUL-2021,18619.2,18753.85,18549.95,18738.5,155314265,3486.53
08-JUL-2021,18658.05,18775.55,18425.5,18499.65,153836557,3371.23
09-JUL-2021,18431.65,18455.1,18257.3,18376.8,147171350,3186.8
12-JUL-2021,18503.9,18562.85,18379.75,18454,232812893,3527.78
13-JUL-2021,18605.3,18733.8,18524.55,18708.55,188252069,4607.45
14-JUL-2021,18660.4,18768.15,18580.35,18694,99093479,2941.73
15-JUL-2021,18731.05,18862.55,18669,18810,255632538,3178.32
16-JUL-2021,18840.85,18840.85,18678.55,18710,140676517,2515.13
19-JUL-2021,18354.25,18501.15,18260.55,18330.2,180667230,4200.31
20-JUL-2021,18192.85,18242.35,17943.7,17966.85,228976756,4569.18
22-JUL-2021,18161.4,18278.6,18061.95,18126.6,149057779,3576.13
23-JUL-2021,18168.3,18331.8,17987.05,18287.15,206376674,4362.24
26-JUL-2021,18281.05,18386.9,18137.9,18270.8,377283534,5637.52
27-JUL-2021,18324,18387.6,18082.35,18116,240976810,5476.69
28-JUL-2021,18160.1,18164.85,17807.8,18023,227932341,5854.72
29-JUL-2021,18139,18150.7,17964.85,18005.95,170716071,3755
30-JUL-2021,18011.4,18062.05,17883.15,17975.85,191495384,4099.13
02-AUG-2021,18055.7,18130.95,17980.7,18036.65,251366393,4104.73
03-AUG-2021,18012.2,18309.15,18007.25,18290.55,174946775,4280.55
04-AUG-2021,18381.35,18720.85,18351.45,18645.25,244676657,7175.91
05-AUG-2021,18645.25,18687.9,18453.7,18576.7,273187643,6004.21
06-AUG-2021,18601.35,18716.7,18531.85,18621.05,189898474,4847.24
09-AUG-2021,18621.7,18801.8,18522.1,18748.85,132691240,3188.82
10-AUG-2021,18705.6,18900.55,18684.45,18739.15,194534889,4425.99
11-AUG-2021,18821.25,18827.15,18459.9,18613.8,235472581,3720.74
12-AUG-2021,18618.85,18693.65,18557.15,18660.6,147658002,2603.74
