Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
01-JAN-2019,15324.4,15410.4,15203.15,15391.45,70169618,2726.82
02-JAN-2019,15330.05,15405.15,15237.05,15300.55,112294224,3157.59
03-JAN-2019,15303.3,15313.9,15154.35,15178.95,81767463,2897.32
04-JAN-2019,15196.45,15347.4,15135.55,15302.75,130009517,3337.98
07-JAN-2019,15403.9,15486.1,15372.5,15391.3,124612906,3352.41
08-JAN-2019,15389.5,15544.45,15315.75,15520.5,107590614,3396.84
09-JAN-2019,15599.35,15687.3,15476.3,15665.55,167309113,5232.46
10-JAN-2019,15663.4,15663.4,15491,15527.3,141589791,3647.68
11-JAN-2019,15576.4,15583.35,15435.05,15484.05,91441859,2884.57
14-JAN-2019,15448.25,15448.4,15311.3,15353.65,174383313,4207.94
15-JAN-2019,15391.1,15453.7,15390.75,15429.95,137502048,3394.25
16-JAN-2019,15429.05,15528.55,15427,15485.5,150947903,3437.02
17-JAN-2019,15538,15588.1,15423.1,15537.8,182748957,4191.55
18-JAN-2019,15541.1,15559.85,15475.95,15505.8,107654633,2874.36
21-JAN-2019,15524.05,15586.35,15446.05,15552.45,147521427,4145.49
22-JAN-2019,15548.05,15567.45,15494.5,15557.4,122494491,4121
23-JAN-2019,15568.15,15622.3,15421.05,15459.65,103713038,3024.55
24-JAN-2019,15468.8,15529.2,15368.6,15466.55,181602419,4801.32
25-JAN-2019,15470.35,15586.1,15338.5,15384.8,258165743,6713.7
28-JAN-2019,15335.8,15381.6,15024.5,15072.3,144986306,4596.06
29-JAN-2019,15057.6,15132.65,14955,15053.85,152415391,4415.36
30-JAN-2019,15216.35,15304.3,15163.7,15242.2,197837726,7969.13
31-JAN-2019,15341.9,15517,15278,15495.1,270668761,8973.16
01-FEB-2019,15503,15592.85,15265.4,15382.1,149017841,4695.59
04-FEB-2019,15300.65,15469.7,15228.7,15441.25,131779962,3448.72
