Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
01-JAN-2020,17809.1,17875.45,17694.1,17711.65,146730922,2437.77
02-JAN-2020,17734.15,17925.8,17726.85,17913.65,188981488,3272.11
03-JAN-2020,17851.55,17858.4,17669.35,17731.25,156945003,3471.55
06-JAN-2020,17645.35,17649.6,17268.65,17298.9,166846836,3476.16
07-JAN-2020,17481.8,17637.2,17277.2,17384.5,192234071,4585.67
08-JAN-2020,17180.05,17413.15,17132.6,17371.35,211704039,4371.22
09-JAN-2020,17566.85,17818.05,17521.6,17760.5,228065896,4380.19
10-JAN-2020,17825.7,17860.7,17659.65,17729.25,362852346,4639.25
13-JAN-2020,17749.15,17852.55,17711.9,17811.05,239802750,3395.69
14-JAN-2020,17827.75,17851.6,17707.3,17727.25,384446019,6098.85
15-JAN-2020,17667.75,17670.45,17493.85,17572.3,483312016,6446.91
16-JAN-2020,17574.8,17664,17505.15,17584.8,200175237,4541.06
17-JAN-2020,17461.15,17524.65,17367.95,17444.35,215066845,5281.88
20-JAN-2020,17620.8,17620.8,17143.85,17161.2,215211741,6536.22
21-JAN-2020,17104.2,17222.4,17036.2,17099.6,167423970,4928.02
22-JAN-2020,17150.65,17205.2,16897.65,16931.9,144040372,5055.39
23-JAN-2020,16958.45,17138.45,16900.8,17075.85,278962672,5928.18
24-JAN-2020,17096.65,17284.15,17013.75,17202.2,370555502,5550.56
27-JAN-2020,17145.1,17229.8,16994.35,17009.6,231780733,6008.18
28-JAN-2020,17048.45,17121.1,16914.65,16966.1,177995245,4596.2
29-JAN-2020,17047.55,17124.9,16988.65,17006.85,219981536,4156.77
30-JAN-2020,17004.55,17017.8,16804.2,16869.8,261414992,4052.29
31-JAN-2020,17039.65,17065.6,16901.7,16936.35,203894295,5683.2
01-FEB-2020,16876.6,16986.9,16380.45,16419.7,163726859,3289.9
03-FEB-2020,16419.8,16653.4,16326.9,16605.15,235186806,5105.36
04-FEB-2020,16706.95,16975.85,16688.75,16932.25,217453684,4739.91
05-FEB-2020,16977,17119.1,16909.35,17086.35,351560599,5028.15
06-FEB-2020,17134.9,17342.5,17046.4,17250.5,218973290,4778.59
07-FEB-2020,17299.6,17302.3,17114.45,17181.5,184327016,3324.67
10-FEB-2020,17220.75,17220.85,17041.25,17081.25,189487665,3113.95
11-FEB-2020,17173.15,17318.7,17167.45,17201.75,148473714,3431.36
12-FEB-2020,17231.6,17347.4,17204.9,17318.95,155951181,3940.99
13-FEB-2020,17365.4,17365.4,17049.9,17083,215090915,3571.57
14-FEB-2020,17114.05,17185.35,16815,16871.45,263807675,4984.48
17-FEB-2020,16885.6,16976.2,16768.7,16808.85,174978908,3676.5
18-FEB-2020,16790.4,16807.85,16538.05,16689.4,310426512,4824.41
19-FEB-2020,16867,16890.35,16706.5,16838.7,199736911,4448.23
20-FEB-2020,16863.05,16992.7,16778.35,16895,201137589,5142.79
24-FEB-2020,16741.8,16756.35,16615.45,16631.35,174381041,4325
25-FEB-2020,16662.15,16699.1,16537.75,16589.3,147818110,3622.44
26-FEB-2020,16507.15,16618.25,16413.85,16495.2,214074027,4246.71
27-FEB-2020,16485.35,16492.8,16292.7,16470.7,261636946,5506.51
28-FEB-2020,16119.15,16146.9,15906.25,15953.6,265534390,7081.73
02-MAR-2020,16238.9,16300,15698.7,15861.55,236756614,5621.75
03-MAR-2020,15930.45,16101.1,15811.3,16054.95,252045440,5067.04
04-MAR-2020,16093.4,16103.8,15495.4,15761.6,304020521,6297.16
05-MAR-2020,15838.8,16042.5,15681.3,15853.45,870699167,7478.69
06-MAR-2020,15232.4,15388.45,14970.85,15259.5,1417313176,8922.45
09-MAR-2020,14836.8,14870.95,14212.45,14480.4,909973077,9333.53
11-MAR-2020,14365,14684.6,14343.65,14548,577064041,8165.92
12-MAR-2020,13804.8,13861.5,12996.75,13232.3,582345873,11059.44
13-MAR-2020,12491.65,14009.8,11757.6,13740.55,535715523,12299.31
16-MAR-2020,13147.95,13164.1,12504.6,12557.1,354372412,7639.68
17-MAR-2020,12691.95,12817.65,11981.75,12053.05,413762520,8825.56
18-MAR-2020,12193.65,12263,10895.8,11069.65,702752845,14998.87
19-MAR-2020,10430.35,11248.1,9994.65,10789.75,309005846,9744.99
20-MAR-2020,10676.9,11234.25,10300.05,10927.9,360418755,11781.11
23-MAR-2020,9859.85,10104.35,8906.05,8974.3,211859039,6517.38
24-MAR-2020,9400.05,9478.5,8487.25,9050.5,279625553,8480.93
25-MAR-2020,8852.3,9906.7,8794.9,9775.85,274667755,8251.08
26-MAR-2020,9959.1,10990,9779.6,10556.2,317203372,11007.6
27-MAR-2020,11241.15,11586.75,10505.1,10738.15,357598614,12333.81
30-MAR-2020,10317.85,10599.85,10007.15,10089.4,233395487,7859.19
31-MAR-2020,10358.65,10371.8,10021.25,10173.7,211857127,6941.47
01-APR-2020,10206.1,10225.85,9590.25,9685.1,181390330,6267.3
03-APR-2020,9753.15,9753.15,9094.95,9157.1,239020764,7209.82
07-APR-2020,9823.8,10234.75,9569.8,10169.4,317960569,10278.32
08-APR-2020,10042.45,10909.45,9857.65,10158.4,372426487,11998.75
09-APR-2020,10503.6,10732.6,10276,10695,279415322,8869.92
13-APR-2020,10658.8,10693,10354.85,10500.9,207422922,6577.38
15-APR-2020,10845.95,10894.6,10130.95,10278.95,277192358,9692.39
16-APR-2020,10220.7,10508.55,10069.1,10442.65,251539282,9134.27
17-APR-2020,11009.8,11317.7,10672.4,11212.1,324847018,10641.24
20-APR-2020,11458.25,11467.85,11039.25,11082.9,269133739,9792.58
21-APR-2020,10673.75,10723,10349.95,10430.7,215059293,7100.31
22-APR-2020,10368.05,10641.1,10233.65,10580.65,243752658,7777.23
