Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
01-JAN-2024,7154.15,7200.3,7149.35,7174.2,292458221,5227.67
02-JAN-2024,7192.8,7217.2,7077.4,7154.7,289058030,5411
03-JAN-2024,7155.05,7179.5,7101,7159.05,287613571,4481.54
04-JAN-2024,7201.95,7256.15,7199.2,7231.15,399155643,6329.65
05-JAN-2024,7272.15,7297.45,7213.8,7292.2,337401799,5548.71
08-JAN-2024,7331.2,7337.3,7237.3,7259.6,302862976,5039.61
09-JAN-2024,7322.1,7340.5,7271.6,7290.25,434299640,4771.53
10-JAN-2024,7309.35,7312.5,7215.6,7275.85,312698742,5511.55
11-JAN-2024,7308.55,7321.75,7276.05,7310.6,293661052,5870.34
12-JAN-2024,7355.65,7406.05,7332.55,7369.65,328054311,5412.18
15-JAN-2024,7422.95,7444.65,7332.65,7373.55,332342490,5183.07
16-JAN-2024,7367.1,7383.55,7243.9,7316.85,442038798,7634.51
17-JAN-2024,7240.15,7321.05,7190.4,7206.1,342540157,5643.05
18-JAN-2024,7196.35,7237.5,6993.9,7187.4,397681728,6101.58
19-JAN-2024,7252.75,7302.4,7235.2,7244.65,371309932,5101.74
20-JAN-2024,7273.35,7289.45,7233.05,7249.35,499717150,5451.49
23-JAN-2024,7300.45,7312.35,7007.65,7034.1,523838297,6547.61
24-JAN-2024,7057.4,7157.1,6965.6,7148,574645422,8118.45
25-JAN-2024,7177.05,7182.9,7091.9,7158.85,455678461,6679.22
29-JAN-2024,7192.55,7252.8,7185.95,7241.15,628541536,7211.9
30-JAN-2024,7289.8,7331.95,7255.6,7263.3,684511737,7580.98
31-JAN-2024,7304.65,7441.8,7293.9,7435.4,659905396,7870.39
01-FEB-2024,7483.1,7493.05,7386,7454.5,670680738,7160.84
02-FEB-2024,7506.1,7580.3,7496.8,7524.85,839238648,9041.24
05-FEB-2024,7564.05,7642.1,7500.45,7553.25,997557387,10227.2
06-FEB-2024,7608.2,7645.7,7555.4,7623.7,761494027,8496.35
07-FEB-2024,7685,7718.85,7631.55,7682.9,981702173,11744.21
08-FEB-2024,7720,7731.6,7626.5,7637.45,608219695,8513.64
09-FEB-2024,7662.8,7664.7,7418.4,7541.9,510398696,6680.99
12-FEB-2024,7567.95,7573.2,7250.3,7274.15,395991259,5810.76
13-FEB-2024,7251.95,7328.7,7088.9,7315.2,467307002,5504.08
14-FEB-2024,7225.7,7422.6,7182.85,7414.95,402369414,5545.74
15-FEB-2024,7466,7523.9,7462.6,7519.5,413574846,6415.46
16-FEB-2024,7564.4,7589.1,7525.35,7538,336022416,6114.3
19-FEB-2024,7577.45,7595.25,7535,7546,326040952,5625.08
20-FEB-2024,7564.9,7588.25,7494.1,7506.6,290875573,4752.69
21-FEB-2024,7529.7,7554.85,7410.3,7440.1,364317962,6689.49
22-FEB-2024,7472.1,7509.05,7360.9,7502.7,297404145,5159.69
